                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4943,                 2.2577,                 2.7492,                0.74243,                0.23166,                0.22882,                0.10057,                 2.4635,                 2.2069,                 2.8049,              2.499e-05,              2.499e-05,              2.499e-05
                      2,                 2.2237,                 1.9815,                 2.7113,                0.71616,                0.27395,                0.27145,                0.14911,                 1.9665,                 1.9348,                 2.6608,             5.7155e-05,             5.7155e-05,             5.7155e-05
                      3,                 2.4434,                 2.1615,                 2.6634,                0.63083,                0.26491,                0.22052,                0.09062,                 2.2887,                   2.13,                 2.7952,             8.8001e-05,             8.8001e-05,             8.8001e-05
                      4,                 2.2333,                 1.9882,                 2.6034,                0.62691,                0.26209,                0.19614,                0.07712,                 2.3607,                 2.2638,                 2.8075,             0.00011753,             0.00011753,             0.00011753
                      5,                 2.3762,                 2.5221,                 2.7845,                0.66984,                0.26889,                0.21741,                 0.0982,                 2.1665,                 2.1214,                 2.7213,             0.00014574,             0.00014574,             0.00014574
                      6,                 2.3634,                 2.0868,                 2.7353,                0.70503,                0.28163,                0.26049,                0.13689,                 2.0108,                 1.9574,                 2.6458,             0.00017262,             0.00017262,             0.00017262
                      7,                 2.4913,                 2.0217,                 2.5993,                0.72614,                0.29365,                0.29208,                0.15844,                 1.9378,                 1.8936,                 2.6213,             0.00019819,             0.00019819,             0.00019819
                      8,                 2.2792,                 1.9994,                 2.6776,                0.77074,                0.28837,                0.29378,                0.16049,                 1.9207,                 1.9299,                  2.642,             0.00022244,             0.00022244,             0.00022244
                      9,                  2.414,                 2.3912,                 2.8092,                0.80021,                0.28521,                0.30488,                0.16158,                 1.9355,                 2.0596,                 2.6847,             0.00024537,             0.00024537,             0.00024537
                     10,                 2.1597,                 1.9339,                 2.5323,                0.79369,                0.27424,                0.32422,                0.16719,                 1.9599,                 2.1125,                 2.6668,             0.00026698,             0.00026698,             0.00026698
                     11,                 2.3144,                 1.9298,                 2.5387,                0.63836,                0.32857,                 0.3272,                0.17673,                 1.9279,                 2.0009,                 2.5973,             0.00028727,             0.00028727,             0.00028727
                     12,                 2.1178,                 1.9163,                 2.6069,                0.61998,                 0.3014,                0.32376,                0.17764,                 1.9423,                 2.0037,                 2.6037,             0.00030624,             0.00030624,             0.00030624
                     13,                 2.0879,                 1.9611,                 2.7144,                0.58105,                0.25795,                0.28154,                0.15231,                 2.0923,                 2.1345,                 2.6401,             0.00032389,             0.00032389,             0.00032389
                     14,                 2.4264,                 1.8098,                 2.4277,                0.58763,                0.27605,                0.29605,                0.16071,                  1.997,                 2.0502,                 2.5825,             0.00034022,             0.00034022,             0.00034022
                     15,                 2.3008,                  2.113,                 2.7625,                0.27877,                0.31892,                0.31951,                0.18108,                 1.7763,                 1.9187,                 2.4854,             0.00035523,             0.00035523,             0.00035523
                     16,                 2.0394,                  1.841,                 2.5011,                0.27983,                0.38308,                0.33276,                0.19506,                 1.6808,                 1.8095,                 2.4214,             0.00036893,             0.00036893,             0.00036893
                     17,                 2.1369,                 1.8441,                 2.5191,                 0.2725,                0.37881,                0.33194,                0.19076,                 1.6791,                 1.7605,                 2.3732,              0.0003813,              0.0003813,              0.0003813
