                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5747,                 4.8475,                 4.2311,                      0,                      0,                      0,                      0,                  3.907,                 4.8632,                 4.1596,              2.499e-05,              2.499e-05,              2.499e-05
                      2,                 3.9671,                 4.8574,                 4.2262,                      0,                      0,                      0,                      0,                 3.9086,                 4.8626,                 4.1599,             5.7155e-05,             5.7155e-05,             5.7155e-05
                      3,                 4.3438,                 4.8794,                 4.2036,                      0,                      0,                      0,                      0,                 3.9093,                 4.8613,                 4.1595,             8.8001e-05,             8.8001e-05,             8.8001e-05
                      4,                 4.4978,                 4.7599,                 4.1653,                      0,                      0,                      0,                      0,                 3.9087,                 4.8592,                 4.1581,             0.00011753,             0.00011753,             0.00011753
                      5,                 4.1538,                 4.8118,                 4.1388,                      0,                      0,                      0,                      0,                 3.9082,                 4.8574,                 4.1568,             0.00014574,             0.00014574,             0.00014574
                      6,                 4.2203,                 4.5843,                 4.1694,                      0,                      0,                      0,                      0,                 3.9073,                 4.8549,                 4.1548,             0.00017262,             0.00017262,             0.00017262
                      7,                 4.5685,                 4.4687,                 4.1534,                      0,                      0,                      0,                      0,                 3.9059,                 4.8528,                 4.1524,             0.00019819,             0.00019819,             0.00019819
                      8,                 3.9837,                 4.1433,                 4.1209,                      0,                      0,                      0,                      0,                 3.9036,                 4.8514,                 4.1494,             0.00022244,             0.00022244,             0.00022244
                      9,                 3.8979,                 4.1898,                 4.1119,                      0,                      0,                      0,                      0,                 3.9003,                 4.8502,                 4.1457,             0.00024537,             0.00024537,             0.00024537
                     10,                 4.0244,                 3.5893,                 4.0039,                      0,                      0,                      0,                      0,                 3.8975,                 4.8496,                 4.1414,             0.00026698,             0.00026698,             0.00026698
                     11,                 4.1115,                 3.3287,                 3.9312,                      0,                      0,                      0,                      0,                 3.8953,                 4.8489,                 4.1371,             0.00028727,             0.00028727,             0.00028727
                     12,                  3.521,                 3.3946,                 3.9634,                      0,                      0,                      0,                      0,                 3.8927,                 4.8465,                 4.1324,             0.00030624,             0.00030624,             0.00030624
                     13,                 3.7361,                 3.4402,                 3.9603,                      0,                      0,                      0,                      0,                  3.887,                 4.8455,                 4.1273,             0.00032389,             0.00032389,             0.00032389
                     14,                 4.2276,                 2.9231,                 3.7647,                      0,                      0,                      0,                      0,                 3.8877,                 4.8539,                 4.1268,             0.00034022,             0.00034022,             0.00034022
                     15,                 3.6908,                 3.2671,                 3.9354,                      0,                      0,                      0,                      0,                 3.8991,                 4.8751,                 4.1307,             0.00035523,             0.00035523,             0.00035523
                     16,                 3.5608,                 2.8996,                 3.7807,                      0,                      0,                      0,                      0,                  3.903,                 4.8805,                 4.1323,             0.00036893,             0.00036893,             0.00036893
                     17,                 3.5855,                 3.0109,                 3.7407,                      0,                      0,                      0,                      0,                 3.9019,                 4.8783,                 4.1311,              0.0003813,              0.0003813,              0.0003813
                     18,                  3.294,                  2.752,                 3.6317,                      0,                      0,                      0,                      0,                 3.8826,                 4.8568,                 4.1215,             0.00039235,             0.00039235,             0.00039235
                     19,                 3.3489,                  2.617,                 3.5839,                      0,                      0,                      0,                      0,                  3.858,                 4.8356,                 4.1107,             0.00040209,             0.00040209,             0.00040209
                     20,                 3.3312,                 2.7456,                 3.5504,                      0,                      0,                      0,                      0,                 3.8259,                  4.806,                 4.0964,              0.0004105,              0.0004105,              0.0004105
                     21,                 3.7924,                 2.6176,                 3.4137,                      0,                      0,                      0,                      0,                 3.7005,                 4.6881,                 4.0402,              0.0004176,              0.0004176,              0.0004176
                     22,                 3.2255,                 3.2253,                 3.4468,                      0,                      0,                      0,                      0,                 3.5645,                 4.5601,                 3.9808,             0.00042338,             0.00042338,             0.00042338
                     23,                 3.2984,                 2.7125,                 3.4064,                0.00015,                0.00095,                  8e-05,                  1e-05,                 3.4141,                  4.382,                 3.9146,             0.00042783,             0.00042783,             0.00042783
                     24,                 3.0968,                 2.6148,                 3.5793,                0.00527,                0.03333,                0.00563,                0.00203,                 3.3181,                 4.1916,                 3.8638,             0.00043097,             0.00043097,             0.00043097
                     25,                 3.2648,                 3.1692,                 3.4213,                0.00557,                0.12095,                0.01064,                 0.0035,                 3.2573,                 3.8764,                 3.7899,             0.00043279,             0.00043279,             0.00043279
                     26,                 2.9574,                 3.2461,                 3.3208,                 0.0044,                0.13714,                0.01408,                0.00428,                 3.2186,                 3.6512,                 3.7209,             0.00042066,             0.00042066,             0.00042066
                     27,                 3.3612,                 2.4932,                 3.2331,                0.00617,                0.14836,                0.02415,                0.00679,                 3.2027,                 3.5028,                 3.6475,             0.00042066,             0.00042066,             0.00042066
                     28,                 3.0655,                 2.6267,                 3.2905,                0.00628,                0.15626,                0.02511,                0.00698,                 3.2801,                 3.3635,                 3.5965,             0.00040417,             0.00040417,             0.00040417
                     29,                 2.9264,                 2.3386,                 3.1155,                0.00624,                0.10695,                0.01882,                0.00523,                 3.4872,                 3.7076,                 3.6981,             0.00038768,             0.00038768,             0.00038768
                     30,                 2.9831,                  2.336,                 3.1327,                0.00193,                 0.0181,                0.00465,                0.00197,                 3.8857,                 4.4526,                 4.0177,             0.00037118,             0.00037118,             0.00037118
